time,frequency
2024-08-19 15:26:02,49.978
2024-08-19 15:26:03,49.978
2024-08-19 15:26:04,49.979
2024-08-19 15:26:05,49.981
2024-08-19 15:26:06,49.982
2024-08-19 15:26:07,49.983
2024-08-19 15:26:08,49.982
2024-08-19 15:26:09,49.984
2024-08-19 15:26:10,49.987
2024-08-19 15:26:11,49.989
2024-08-19 15:26:12,49.99
2024-08-19 15:26:13,49.992
2024-08-19 15:26:14,49.995
2024-08-19 15:26:15,49.997
2024-08-19 15:26:16,49.997
2024-08-19 15:26:17,49.996
2024-08-19 15:26:18,49.995
2024-08-19 15:26:19,49.995
2024-08-19 15:26:20,49.995
2024-08-19 15:26:21,49.995
2024-08-19 15:26:22,49.997
2024-08-19 15:26:23,50.0
2024-08-19 15:26:24,50.001
2024-08-19 15:26:25,50.0
2024-08-19 15:26:26,49.999
2024-08-19 15:26:27,50.0
2024-08-19 15:26:28,50.001
2024-08-19 15:26:29,50.004
2024-08-19 15:26:30,50.004
2024-08-19 15:26:31,50.004
2024-08-19 15:26:32,50.004
2024-08-19 15:26:33,50.002
2024-08-19 15:26:34,50.0
2024-08-19 15:26:35,49.999
2024-08-19 15:26:36,49.996
2024-08-19 15:26:37,49.993
2024-08-19 15:26:38,49.99
2024-08-19 15:26:39,49.986
2024-08-19 15:26:40,49.983
2024-08-19 15:26:41,49.982
2024-08-19 15:26:42,49.982
2024-08-19 15:26:43,49.983
2024-08-19 15:26:44,49.986
2024-08-19 15:26:45,49.988
2024-08-19 15:26:46,49.991
2024-08-19 15:26:47,49.991
2024-08-19 15:26:48,49.99
2024-08-19 15:26:49,49.9915
2024-08-19 15:26:50,49.993
2024-08-19 15:26:51,49.994
2024-08-19 15:26:52,49.994
2024-08-19 15:26:53,49.995
2024-08-19 15:26:54,49.996
2024-08-19 15:26:55,49.997
2024-08-19 15:26:56,49.997
2024-08-19 15:26:57,49.996
2024-08-19 15:26:58,49.994
2024-08-19 15:26:59,49.995
2024-08-19 15:27:00,49.995
2024-08-19 15:27:01,49.994
2024-08-19 15:27:02,49.992
2024-08-19 15:27:03,49.991
2024-08-19 15:27:04,49.99
2024-08-19 15:27:05,49.989
2024-08-19 15:27:06,49.989
2024-08-19 15:27:07,49.987
2024-08-19 15:27:08,49.986
2024-08-19 15:27:09,49.987
2024-08-19 15:27:10,49.989
2024-08-19 15:27:11,49.991
2024-08-19 15:27:12,49.992
2024-08-19 15:27:13,49.992
2024-08-19 15:27:14,49.994
2024-08-19 15:27:15,49.995
2024-08-19 15:27:16,49.994
2024-08-19 15:27:17,49.994
2024-08-19 15:27:18,49.994
2024-08-19 15:27:19,49.995
2024-08-19 15:27:20,49.997
2024-08-19 15:27:21,49.996
2024-08-19 15:27:22,49.994
2024-08-19 15:27:23,49.992
2024-08-19 15:27:24,49.992
2024-08-19 15:27:25,49.991
2024-08-19 15:27:26,49.991
2024-08-19 15:27:27,49.991
2024-08-19 15:27:28,49.992
2024-08-19 15:27:29,49.991
2024-08-19 15:27:30,49.989
2024-08-19 15:27:31,49.99
2024-08-19 15:27:32,49.992
2024-08-19 15:27:33,49.993
2024-08-19 15:27:34,49.995
2024-08-19 15:27:35,49.996
2024-08-19 15:27:36,49.997
2024-08-19 15:27:37,49.998
2024-08-19 15:27:38,49.999
2024-08-19 15:27:39,49.999
2024-08-19 15:27:40,49.999
2024-08-19 15:27:41,50.0
2024-08-19 15:27:42,50.002
2024-08-19 15:27:43,50.003
2024-08-19 15:27:44,50.003
2024-08-19 15:27:45,50.003
2024-08-19 15:27:46,50.005
2024-08-19 15:27:47,50.006
2024-08-19 15:27:48,50.006
2024-08-19 15:27:49,50.006
2024-08-19 15:27:50,50.007
2024-08-19 15:27:51,50.006
2024-08-19 15:27:52,50.006
2024-08-19 15:27:53,50.008
2024-08-19 15:27:54,50.011
2024-08-19 15:27:55,50.013
2024-08-19 15:27:56,50.014
2024-08-19 15:27:57,50.015
2024-08-19 15:27:58,50.016
2024-08-19 15:27:59,50.018
2024-08-19 15:28:00,50.02
2024-08-19 15:28:01,50.02
2024-08-19 15:28:02,50.021
2024-08-19 15:28:03,50.02
2024-08-19 15:28:04,50.02
2024-08-19 15:28:05,50.018
2024-08-19 15:28:06,50.016
2024-08-19 15:28:07,50.014
2024-08-19 15:28:08,50.014
2024-08-19 15:28:09,50.014
2024-08-19 15:28:10,50.014
2024-08-19 15:28:11,50.014
2024-08-19 15:28:12,50.012
2024-08-19 15:28:13,50.013
2024-08-19 15:28:14,50.011
2024-08-19 15:28:15,50.011
2024-08-19 15:28:16,50.011
2024-08-19 15:28:17,50.011
2024-08-19 15:28:18,50.01
2024-08-19 15:28:19,50.009
2024-08-19 15:28:20,50.008
2024-08-19 15:28:21,50.009
2024-08-19 15:28:22,50.009
2024-08-19 15:28:23,50.011
2024-08-19 15:28:24,50.014
2024-08-19 15:28:25,50.015
2024-08-19 15:28:26,50.015
2024-08-19 15:28:27,50.017
2024-08-19 15:28:28,50.019
2024-08-19 15:28:29,50.022
2024-08-19 15:28:30,50.024
2024-08-19 15:28:31,50.024
2024-08-19 15:28:32,50.024
2024-08-19 15:28:33,50.026
2024-08-19 15:28:34,50.026
2024-08-19 15:28:35,50.023
2024-08-19 15:28:36,50.021
2024-08-19 15:28:37,50.02
2024-08-19 15:28:38,50.019
2024-08-19 15:28:39,50.017
2024-08-19 15:28:40,50.014
2024-08-19 15:28:41,50.011
2024-08-19 15:28:42,50.011
2024-08-19 15:28:43,50.014
2024-08-19 15:28:44,50.015
2024-08-19 15:28:45,50.017
2024-08-19 15:28:46,50.017
2024-08-19 15:28:47,50.018
2024-08-19 15:28:48,50.018
2024-08-19 15:28:49,50.017
2024-08-19 15:28:50,50.017
2024-08-19 15:28:51,50.017
2024-08-19 15:28:52,50.016
2024-08-19 15:28:53,50.015
2024-08-19 15:28:54,50.013
2024-08-19 15:28:55,50.012
2024-08-19 15:28:56,50.01
2024-08-19 15:28:57,50.01
2024-08-19 15:28:58,50.009
2024-08-19 15:28:59,50.01
2024-08-19 15:29:00,50.009
2024-08-19 15:29:01,50.008
2024-08-19 15:29:02,50.006
2024-08-19 15:29:03,50.006
2024-08-19 15:29:04,50.006
2024-08-19 15:29:05,50.006
2024-08-19 15:29:06,50.005
2024-08-19 15:29:07,50.006
2024-08-19 15:29:08,50.008
2024-08-19 15:29:09,50.007
2024-08-19 15:29:10,50.006
2024-08-19 15:29:11,50.006
2024-08-19 15:29:12,50.006
2024-08-19 15:29:13,50.007
2024-08-19 15:29:14,50.006
2024-08-19 15:29:15,50.005
2024-08-19 15:29:16,50.005
2024-08-19 15:29:17,50.006
2024-08-19 15:29:18,50.008
2024-08-19 15:29:19,50.006
2024-08-19 15:29:20,50.006
2024-08-19 15:29:21,50.006
2024-08-19 15:29:22,50.005
2024-08-19 15:29:23,50.007
2024-08-19 15:29:24,50.007
2024-08-19 15:29:25,50.006
2024-08-19 15:29:26,50.005
2024-08-19 15:29:27,50.003
2024-08-19 15:29:28,50.002
2024-08-19 15:29:29,50.001
2024-08-19 15:29:30,49.999
2024-08-19 15:29:31,49.998
2024-08-19 15:29:32,49.998
2024-08-19 15:29:33,50.0
2024-08-19 15:29:34,50.0
2024-08-19 15:29:35,49.999
2024-08-19 15:29:36,49.999
2024-08-19 15:29:37,49.999
2024-08-19 15:29:38,49.999
2024-08-19 15:29:39,49.997
2024-08-19 15:29:40,49.996
2024-08-19 15:29:41,49.994
2024-08-19 15:29:42,49.991
2024-08-19 15:29:43,49.99
